56,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz56_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz56.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 56,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,347.75146484375,28672,151.08546229771204,1.0858643580870302,6.6187704944736,0.04730328117605351,189773,False,1143.59 G,541.17 GMACs,27.55 M
64,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz64_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz64.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 64,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,347.78271484375,32768,170.02210889543807,1.7353845083943635,5.881588026972364,0.060270488529344836,192728,False,1306.96 G,618.48 GMACs,27.55 M
72,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz72_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz72.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 72,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,347.814453125,36864,192.91927337646484,2.739588806487376,5.183515272984616,0.07356420727376733,191085,False,1470.33 G,695.78 GMACs,27.55 M
80,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz80_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz80.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 80,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,347.845703125,40960,215.71609824044364,2.523493199880854,4.635722638026625,0.05432765978797103,189879,False,1633.72 G,773.09 GMACs,27.55 M
88,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz88_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz88.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 88,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,347.876953125,45056,238.92597852434432,5.274384243790101,4.185396691377825,0.09017941645045048,188577,False,1797.06 G,850.4 GMACs,27.55 M
96,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz96_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz96.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 96,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,347.908203125,49152,253.19142150878906,1.7059035202750337,3.9495808903829186,0.026544002267041067,194130,False
104,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz104_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz104.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 104,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,347.939453125,53248,280.930899483817,2.5874945622414764,3.5595941985641386,0.03289177428969005,189541,False
112,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz112_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz112.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 112,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,347.970703125,57344,303.8441946847098,3.66192648345044,3.2911604614913594,0.039457162719765376,188728,False
120,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz120_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz120.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 120,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,348.001953125,61440,327.16311427525113,5.5611697123282084,3.0565792913887995,0.05206627405464464,187796,False
128,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz128_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz128.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 128,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,348.033203125,65536,342.4410836356027,6.668041725825591,2.920210359642819,0.056612419432870105,191379,False
132,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz132_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz132.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 132,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,349.04931640625,67584,351.048586164202,4.256436917683769,2.848608538569225,0.033975580908648384,192520,False
134,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz134_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz134.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 134,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,361.09375,348.05712890625,68608,357.1198163713728,5.628073212719025,2.8001806513030045,0.04373628997295315,192115,False
135,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz134_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz134.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 134,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,0,0,0,0,0,0,0,0,True
136,16384,mini,False,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz134_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 512,
 'head_dim': 32,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 2048,
 'n_gpus': 1,
 'n_heads': 8,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpmo99709x/throughput_results_bsz134.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 134,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,27549696,19161088,Tesla V100-SXM2-32GB-LS,0,0,0,0,0,0,0,0,True
1,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz1_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 768,
 'head_dim': 64,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 3072,
 'n_gpus': 1,
 'n_heads': 12,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpv6dyzynt/throughput_results_bsz1.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 1,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,53912064,41329152,Tesla V100-SXM2-32GB-LS,462.158203125,663.72998046875,512,31.390576090131486,0.4522454932436116,31.856694733116996,0.45242077094862404,16311,False,45.13 G,20.94 GMACs,53.91 M
8,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz8_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 768,
 'head_dim': 64,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 3072,
 'n_gpus': 1,
 'n_heads': 12,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpv6dyzynt/throughput_results_bsz8.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 8,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,53912064,41329152,Tesla V100-SXM2-32GB-LS,462.158203125,664.88232421875,4096,48.079214096069336,0.21863036413050468,20.79900886070752,0.09506805409027723,85193,False,361.02 G,167.5 GMACs,53.91 M
16,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz16_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 768,
 'head_dim': 64,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 3072,
 'n_gpus': 1,
 'n_heads': 12,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpv6dyzynt/throughput_results_bsz16.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 16,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,53912064,41329152,Tesla V100-SXM2-32GB-LS,462.158203125,673.41357421875,8192,83.20975603376117,0.5305759828370147,12.017821559220343,0.07690387500235828,98450,False,722.04 G,335.01 GMACs,53.91 M
24,16384,tiny,False,512,4,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"{'compile': 'default',
 'data_root': '/data/languini_data/books',
 'dataset': 'books_16384',
 'debug': False,
 'decay_steps': 500000,
 'device': 'cuda',
 'eval_batch_size': 16,
 'eval_every': 2500,
 'exp_name': 'GPT_books16384_bsz24_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16',
 'grad_clip_norm': 0.0,
 'gradient_accumulation_steps': 1,
 'h_dim': 768,
 'head_dim': 64,
 'log_activations_every': 2500,
 'log_ckpt_every': 50000,
 'log_grads_every': 2500,
 'log_metrics_every': 100,
 'log_terminal_every': 100,
 'logger_type': 'all',
 'max_eval_steps': 500,
 'max_lr': 0.0006,
 'max_train_steps': 500000,
 'min_lr': 6e-06,
 'mlp_dim': 3072,
 'n_gpus': 1,
 'n_heads': 12,
 'n_layers': 4,
 'project_path': '/home/imanol/Languini/languini/projects/gpt',
 'results_pickle_file': '/tmp/tmpv6dyzynt/throughput_results_bsz24.pkl',
 'seed': 0,
 'seq_len': 512,
 'test_batch_size': 16,
 'test_every': -1,
 'tokens_per_second': 0,
 'train_batch_size': 24,
 'use_flash': False,
 'vocab_size': 16384,
 'wandb_project_name': 'gpt'}",forward and backward,53912064,41329152,Tesla V100-SXM2-32GB-LS,462.158203125,661.06982421875,12288,120.51222392490932,1.0458429288941877,8.29791341850181,0.07190417318747822,101965,False,1083.06 G,502.51 GMACs,53.91 M
